Tweet,Subject_of_tweet,Emotion
What's a laptop? RT @mention I think I may go iPad only -- no laptop -- today at #SXSWi.  Any #SXSW (cont) {link},iPad,1
"At Josh Clark's #sxsw session on iPad/tablet development. First note, iPad more of a leisure/planning/restful device. #tapworthy #webvisions",iPad,1
@mention Last but not least  get a copy of Stupid Game Plus for your iPhone {link} also for a special #sxsw price!,iPad or iPhone App,1
SO COOL: latest version of google maps mobile has 3D buildings. Not sure if they've mapped Aus to that detail yet ;-) #sxsw,Other Google product or service,1
@mention launching Gowalla 3 for Droid at #SxSW - should push 4square and Groupon {link},Android,1
iPad 2 sold out in all retail stores...except for #sxsw pop up store in Austin? #igottagetit,iPad,1
"#iPad2 Sold Out, 70% Went to New Buyers - WOW!  {link} via @mention @mention #sxsw",iPad,1
They should stock up on Mophie juice packs: Apple temp store opens in Austin for #SXSW &amp; iPad 2 launch {link} via @mention,,1
"I just held the new iPad, I have envy, but my baby is still working so well at #sxsw.",iPad,1
"Man, Google *should* launch Circles at #SXSW. Talk about striking while the iron is hot. | @mention @mention",Google,1
"Lovin apple &amp; ipad2
#apple #austin #SXSW",iPad,1
Cant handle #SxSW traffic? RT @mention Dear @mention your own app for iPhone has sucked all day. #crashing,iPad or iPhone App,0
Love Google Analytics! Thanks to the followers at #SXSW who took the time to check out my new post!,Other Google product or service,1
"This double buzzing issue with iPhone iOS 4.3 is getting annoying. In other news, an iPhone may fly across the room at #GR2L2 #SXSW",iPhone,0
Chris Poole from 4chan recommends you Google: refrigerator magnet game. Very cute shared experience game. #sxswmoot #sxsw #sxswi,Other Google product or service,1
"#tech Apple heads to #SXSW, sets up temporary store in Austin {link}",Apple,1
&quot;Apple is the most elegant fascist company in America.&quot; #flipboard #SXSW,Apple,0
Have Google launched their next social media flop yet? #sxsw,Other Google product or service,0
&quot;Apple likes it if you pay them. That's what Apple likes.&quot; - Barry Diller #SXSW (@mention ACC - Ballroom D) [pic]: {link},Apple,0
That Google Maps for Mobile demonstration just rocked my world. #SXSW #UOsxsw #marissamayer,Other Google product or service,1
Wow! Google maps for mobile v5 demo at #sxsw. Very nice.,Other Google product or service,1
The #google name was built on gettinng stuff out there and trying it with users to see what works. #marissagoogle #sxsw,Google,1
#tech Apple Opening Pop-Up Store In Austin For #SXSW {link},Apple,1
GSDM Google party is off the hook! #SXSW  {link},Google,1
#SXSW Apple picked a great venue to launch the new Ipads.,Apple,1
"Cool. Apple sets up 5,000 sq. ft. temporary store at #SXSW to sell iPad 2's. {link}",Apple,1
Popup Apple Store opens up for #SXSW. Love that this is going to be right in the middle of the action. {link} via @mention,Apple,1
#sxsw apple store run out for the day :( boo apple.,Apple,0
Japan Apple Stores serve as rallying point after massive quake {link} #entry #friends #house #sxsw,Apple,1
"love google street maps. Getting an idea of where everything is, in relation to the Austin Convention Center. Alamo Drafthouse Cinema #sxsw",Other Google product or service,1
Cool! Apple to open temporary store at SXSW {link} #sxsw,Apple,1
nice! Apple to open pop-up store during #sxsw across from my office. {link},Apple,1
"Dear google, your photobooth sucks. #sxsw",Other Google product or service,0
&quot;Apple: the most elegant fascist corporation in America today.&quot; -- Kara Swisher #sxsw #flipboard,Apple,0
This Google/Bing Q&amp;A panel is like the world's most expensive SEO consultation. #SXSW,Google,1
Temp #Apple$tore set up for #SXSW YAY! {link} #Austin #tech,Apple,1
About to learn all about design headaches for iPad #sxsw,iPad,0
Ready to learn! &quot;Designing iPad Interfaces - New Navigation Schemas&quot; #SXSW #UXDes,iPad,1
On plane leaving for #sxsw.... I have never seen so many #apple devices on one plane! ;-),Apple,1
Google celebrating Pi Day in style at #SXSW -  {link},Google,1
"*Spark selected as a finalist in Team Android Choice awards! If you're in Austin 3/13, please come &amp; support {link} #sxsw",Android,1
Yeah Googlegays! Get your SxSWSex on! @mention Popular Gay Dating App Grindr Now on Android - {link} #Grindr #SxSW,Android App,1
"Barry Diller says iPad-only magazines like The Daily don't make sense, {link} #sxsw",iPad or iPhone App,0
Barry Diller says that you're silly if you write content for one form factor only. Apple like it because they get money #SXSW,Apple,0
Barry Diller: I have a truly emotional thing about the iPad. Harlow: iPad2? Diller: &quot;It's better.&quot; #sxsw,iPad,1
Barry Diller's pragmatic and straight forward which is nice. Looks like he wants us to grab pitchforks vs. Apple #SXSW,Apple,0
@mention let's go to the apple store and score an ipad. #sxsw #widfy,iPad,1
#SXSW Go let's you rate &amp; review sessions (although the experience on the iPhone is a bit torturous).,iPhone,0
And how clever that the iPad2 comes out the first day of #SXSW with a pop up apple store right indoor town Austin. Clever!,iPad,1
: Aron Pilhofer from The New York Times just endorsed HTML over iPad at the #NewsApps #sxsw and asked us not to tweet what he actually said!,iPad,1
"I mean, sliced bread is great. But google bread is going to be revolutionary. #sxsw",Google,1
My sis Julie and I are in a life and death Rockaroke struggle to win her an iPad at the #Fandango #SXSW party. Hole and Bad Religion so far,iPad,1
"You want likability of Virgin, trustworthiness of Zappos and product of Apple. @mention #pnid #sxsw #enchantment",Apple,1
"It looks like a laptop, but it's a dock for the Motorola Atrix, an Android phone from #ATT. It is awesome. #SXSW {link}",Android,1
Partying like it's 1986 (last time privacy law updated) with Google and the ACLU #sxsw (@mention Maggie Mae's) [pic]: {link},,1
"First in line @mention #sxsw @mention store for the #ipad2!! (@mention Apple Store, SXSW) [pic]: {link}",Apple,1
Mad long line for Google party at Maggie Mae's. Hope it's worth it.. but with 80s theme I am very optimistic #sxsw,,1
Apple selling iPad 2 at #sxsw. California is great at building cult followings. {link},iPad,1
Who's killing it at #chevytweethouse ? @mention - the iPad DJ! #sxsw {link},iPad,1
#ipad2 delivery at the pop up @mention store @mention Quite possible! #sxsw #sxswi {link},iPad,1
Never realized that there was a story/meaning behind every Google logo. So cool. Loving hearing from the #GoogleDoodle Team! #gsdm #sxsw,Google,1
iPad 2 will be taking over #SXSW. I'm prepared for this to be the most fun weekend of my career.,iPad,1
Google will eat itself #rhizome #sxswk #sxsw  @mention Hilton {link},Google,0
Omg.. Still in line for the new iPad n dieing of hunger! #sxsw who else is in line?,iPad,1
Welcome all iPad 2 owners and new used iPad owners. There's room for everyone at this party. #SXSW #postPC,iPad,1
"Google will not launch Facebook competitor Circles @mention #sxsw today as thought, creeper half-friends the world over disappointed.",Google,0
"And it will suck. RT @mention RT @mention Google will preview major new social service, Circles, at #sxsw today {link}",Other Google product or service,0
Google will take over the world #SXSW (@mention ACC - Ballroom D w/ 97 others) {link},Google,1
Look at all these people at #sxsw with iPad 1's. No shame.,iPad,0
"I want yall to know Apple built a pop up store in 3 days, only selling the iPad2, wow #sxsw {link}",Apple,1
Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw,Android App,1
"Hello, Holler Gram! Come take a look at our new (and first!) iPad app {link} #hollergram #sxsw",iPad or iPhone App,1
I realllllllly need to upgrade my phone haha RT @mention 10 iPhone Apps youÛªll Probably Need and Use During #SXSW {link},iPad or iPhone App,1
I feel silly but cannot figure out how to update the #sxsw mobile app on android. It doesn't seem to have &quot;options&quot; (bottom left button)?,,0
Had a really good look at IE9 today @mention #sxsw and as an Apple #fanboy I was very impressed,iPad or iPhone App,1
"I was really hoping #SXSW would bring an Android version of @mention Oh well, maybe someday...a long time from now.",Android App,0
"Will overload of info delivered by Google kill discovery? Google says ppl won't lose curiosity, but I wonder...We need serendipity. #SXSW",Google,0
Just downloaded an ipad app for countering jetlag in Austin. #sxsw,,1
Just downloaded the #sxsw go app off the android market... let's get ittttt,Android App,1
Just downloaded the Asddieu app in preparation for #sxsw.  Pumped.  You need to check it out  {link} #app #events #networking,iPad or iPhone App,1
@mention Lol. Here at #sxsw Apple have a pop up store. iPad 2's are flying off the shelves. It's a hipster feeding frenzy!,iPad,1
"Wow very long queue of people at apple pop up store now, some have bought 3 iPads! #sxsw@mention Room#NokiaConnects",iPad,1
@mention look! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW ... {link},,1
@mention Looks like you could get your iPad2 here {link} #apple #sxsw,iPad,1
I expect lots of buzz about iPad 2 at #sxsw since it comes out tomorrow. But will it support Flash? Maybe so: {link} #elonsxsw,iPad,1
kinda jealous of the ubiquity of ipad's here...#sxsw,iPad,1
"A lot of love for Google APIs in session on visualizing government data @mention #sxsw, including My Maps, Maps API, Fusion Tables and Refine.",Other Google product or service,1
@mention love the #ipad2.  Got one at the pop-up Apple Store for #sxsw attendees.,iPad,1
@mention love what y'all do at #SXSW. How come I'm getting login authorization error almost every time I open my app on iPhone?,iPad or iPhone App,0
Apple employee psyches up line at pop up shop at #SXSW moments before iPad 2 goes on sale!  {link},Apple,1
Apple employees just showed up in force to the #SXSW PopUp Apple Store. #iPad2,,1
@mention Luckily @mention has a pop up store at #SXSW!,,1
"Hey, you lucky dogs at #SXSW with iPads -- check out the Holler Gram app: {link}",iPad,1
"After failure of Google buzz, Google Latitude, now Google Circle! Seriously Google needs to concentrate more on search! #FAIL #google #sxsw",Google,0
We're at Lustre Pearl for #teamandroidsxsw cause we love our Android geeks! #sxsw {link},Android,1
Mr Heavenly (aka the band w/ Michael Cera) ready to rock the Bat Bar at #sxsw. iPhone cameras de rigeur.,iPhone,1
"Very timely #SXSW RT @mention Bing's search engine share continues to rise, up to 13.6%. Google still tops at 65.4% {link}",Google,1
Hmm....only 9? #SXSW right-brain #mwrc11 left-brain?? :) RT @mention @mention at #SXSW 9 out of 10 attendees have Mac or iPad,iPad,1
"You finally get everyone to buy in to Facebook and then Google introduces Circle. No fair. Stop with all the innovation, people #sxsw",,0
"You finally get everyone to buy in to Facebook and then Google introduces Circles. No fair. Stop with all the innovation, people #sxsw",Other Google product or service,0
In a really long line to get into the ACLU/Google party. Not sure I can wait this out. #sxsw,Google,1
Beautifully smart and simple idea RT @mention @mention wrote about our #hollergram iPad app for #sxsw! {link},iPad or iPhone App,1
"I know I'm late to the game here, but I REALLY dig #flipboard for iPad #SXSW",iPad,1
So sad I'm missing the iPad 2 launch at *South By.*  That sounds so chill!!!!  #sxsw #ipad #jk,iPad,1
"I got so many cool things from #sxsw.. headsets, usb drives, iphone chargers galore, earphones... must have 1k in products! #rad",,1
Google's Marissa Mayer - she is awesome! #SXSW #MarissaGoogle  {link},Google,1
"Google's Marissa Mayer on the location-based 'fast, fun and future' {link} #SXSW #SXSWi",,1
Google's Marissa Mayer up next at #SXSW - looking forward to this.,Google,1
Google's Marissa Mayer: &quot;The mobile phone is a cursor that connects the physical and digital worlds.&quot; #sxsw,Google,1
"Watching Marissa Mayer talk about advanced / future Google location-based &amp; augmented reality projects, very cool! #SXSW #SXSWi",Other Google product or service,1
"@mention massive lines at #sxsw apple store...agree, I can wait. Perhaps late early adopter?",Apple,1
Google's Mayer: Google Map's Route Around feature saves 2 yrs of drive time every day.  I missed the amount of gas that saves. Anyone? #sxsw,Other Google product or service,1
I want some time with this said iPad! RT @mention This schedule is heavier than my laptop. Where's my ipad already? #sxsw,iPad,1
OMG SIGN ME UP! Until when? RT @mention We're officially at #SXSW! Come by the @mention Grill &amp; youÛªll get to make your own iPhone case!,iPhone,1
yup. RT @mention @mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;,Apple,1
Nice RT @mention Apple to open pop-up store at SXSW Festival {link} #SXSW #ipad #mac,,1
yawn RT @mention Apple set to open a pop-up shop at the #SXSW Interactive Conference. {link} #apple #iPad2,Apple,1
Yay! RT @mention Apple is opening up a temp store in Austin for #SXSW {link} via @mention #iPad2Û,Apple,1
Rocking @mention for notes at #sxsw. Working out awesome on MBP or iPhone app. And they sync transparently.,iPad or iPhone App,1
"The New @mention for the Android 3.0 is so great, can't wait to use it during #sxsw !",Android,1
I guess @mention has no excuse not to get an iPad 2: {link} #sxsw,iPad,1
Haha RT @mention How many of you don't use apple? Cause no one uses windows voluntarily. #Kawasaki #thisisdare #SXSW,Apple,1
"Yay! RT @mention Hoot! New Blog post: HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link}",iPad or iPhone App,1
Haha RT @mention I'll bet there's a lot of nerds at #SXSW using the #iPhone Light Saber app in barroom brawls instead of their fists.,iPad or iPhone App,1
LOL! RT @mention I'll bet there's a lot of nerds at #SXSW using the #iPhone Light Saber app in barroom brawls instead of their fists.,iPad or iPhone App,1
Cool RT @mention It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 .. {link},Apple,1
Srsly? ÛÏ@mention It's not a rumor: Apple is  up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link},iPad,1
Yup. RT @mention My #iPad envy is through. the. roof. Thanks every other person at #SXSW,iPad,1
Fab! RT @mention RT @mention So @mention just spilled the beans: next platform 4 #Flipboard is the iPhone.workin on it. #sxflip #SXSW #SXSWi,iPad or iPhone App,1
Lucky! ÛÏ@mention RT @mention Scored a #mophie juice pack at the #tradeshow #sxsw. Double your iPhone battery!Û,iPhone,1
Sweet ! @mention RT @mention is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link},Apple,1
"Wow. RT @mention RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",Other Google product or service,1
ZOMG RT @mention Special Apple store at #sxsw just for ipad. Line is a block long. plixi.com/p/83323324 plixi.com/p/83323414,,1
#Thanks @mention we're lovin' the @mention app update on my iPhone. Be sure to download &amp; familiarize yourself w/ it before #SXSW #usguys,iPad or iPhone App,1
Casually mentioned: you can forecast the DOW six days ahead based on Google mood analysis of Twitter data. #sxsw #smvis #imrich,Google,1
marcelosomers: New version of Google Maps for Mobile is pretty amazing - vector based &amp; FAST! #sxsw: marcelosomers:... {link},Google,1
@mention Might need to go to Apple today. I think my &quot;S&quot; &quot;X&quot; and &quot;W&quot; keys are worn out. #SXSW,Apple,0
just got mine &amp; i disagree RT  @mention Peter Cashmore on iPad 2 it's only a minor improvement Not worth it unless you've $ 2 burn #SXSW,iPad,0
"Within a month of having iPad, severely autistic 9 year old had mastered puzzles and games. #sxsw #poursite",iPad,1
Strong rumours abt Google unveiling a new social network called 'Circles' at  #sxsw  Does look interesting: {link},Google,1
"Google &amp; BAVC launch Impact Dashboard at #SXSW - web app to collect, host and visualize data in real time: bavc.org/impact",,1
Doodle competition: invite kids to create own doodles. Winners are put on Google.com to celebrate their awesomeness!  #GoogleDoodle #sxsw,Google,1
"Initial impressions: White iPad 2 = awesome, seems so much quicker at web browsing ...even on the shitty wifi here at #sxsw",iPad,1
Apple trumps Nvidia in tablet gaming {link} #entry #friends #house #sxsw,Apple,1
Really tempted to get the iPad 2 #sxsw,iPad,1
"Nope, seems no Google Circles launch today: {link} #sxsw",Other Google product or service,0
Apple seems to be winning in the app world. #sxsw,Apple,1
What are my #Seattle #SXSW peeps up to today? Replacement iPhone in hand - I'm back in action!,iPhone,1
@mention my #twitter iPhone app has been down for a few days. Heading to #SXSW and want to tweet a lot - can you help?,iPad or iPhone App,0
"Restored my Apple made smart phone, because I'm about to unleash hell on it at #SXSW.",Apple,1
"Just got my hand on the ipad 2 at #sxsw. Mixed feelings on the magnetic cover, but overall, a great improvemnt.",iPad,1
Just got my iPad 2 courtesy of the pop up store in Austin!! Yay for #sxsw allowing the amount of available iPads to rise!,iPad,1
Just got my iPad 2 white 64gb wifi blue cover. That is the only thing they sell in #SXSW apple store.  {link},iPad,1
@mention my iPhone crashed &amp; I had to do a fresh restore &amp; lost my fave Dali/canvas pak? Can I ever get it back? Also are you @mention #sxsw?,iPhone,0
Today is my last day at the Apple pop-up for #SXSW. Vacation starts tomorrow. It's been such a great experience to be here.,Apple,1
"Time for my late night iPad2 purchase! #SXSW (@mention Apple Store, SXSW w/ 75 others) {link}",iPad,1
Just got my Mophie Juice Pack plus for my iPhone 4! Now I'm ready for #sxsw. More than double the battery life #FTW,iPhone,1
Sound of My Voice was shot exploiting Apple &amp; Best Buy's 14-day return policy on iMacs. Brilliant. #sxsw,Other Apple product or service,1
Sound of My Voice was shot exploiting Apple &amp; Best Buy's 14-day return policy on iMacs. Brilliant. #sxsw:  {link},,1
"Ahhh, darn :( RT @mention @mention @mention according to @mention Google has confirmed it is not launching at #SXSW, if at all.",Other Google product or service,0
ÛÏMore than 35 million miles a day are driven while being Google Maps Navigation assisted.&quot; --Marissa Mayer #sxsw  [The GPS biz is so toast.],Other Google product or service,1
Australian business &amp; not-for-profits may be interested in these SEO insights from Google &amp; Bing at #sxsw {link} #digibiz,Google,1
Having fun creating a dynamic Google doc with @mention from opposite sides of the #killcommunity room #sxsw,Other Google product or service,1
RT@mention Crowley and Cashmore think iPad 2 is a minor step up. Tell that to the people standing in line at #SXSW Apple pop-up store,iPad,1
"RT@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw #twnp #socmedia",,1
"We lose an hour tonight. #SxSW attendees will blame Microsoft, Apple will get credit for fixing it before Christmas.",Apple,1
"Please can I hear more people talk about the iPad 2, preferrably with more #sxsw hashtags -  I really have a deficit of this in my life!",iPad,0
"Innovation in banking is coming from mobile. The innovators are Apple, Google and Verizon #sxsw #bankinnovation",Google,1
#sxsw tron iPad app is very swish - behind the scenes footage &amp; directors notes that syncs to blueray playing film,iPad or iPhone App,1
"I think an iPad is eminent. Typing thoughtful notes on a phone not working,  mac book to big, handwriting is ridic. #sxsw day 2 conquered.",iPad,1
My Verizon iPhone is kicking hairy butts at SXSW.  How's your AT&amp;T phone doing?  :-D  #SXSW,iPhone,1
My Verizon iPhone is kicking hairy butts at SXSW. How's your AT&amp;T phone doing? :-D #SXSW {link},iPhone,1
"this woman is great - fessing up to issues, admitting google could do better #sxsw",Google,0
Lisa Cohen just announced that @mention will have an iphone app out this month. Sweet! #comCom #SXSW,iPad or iPhone App,1
Mike Tyson launched iPhone game @mention #SXSW {link} #tech #news {link},,1
Wanting in line at the unconfirmed Apple pop-up store for an iPad 2. #sxsw,iPad,1
Waiting in line for the iPad 2. They said they may have some left...crossing my fingers. #sxsw,iPad,1
RT@mention Love it. @mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;,Apple,1
Ours is on order! (2 week wait) RT @mention Have decided I need an ipad. #usguys #sxsw,iPad,1
Left brain search = google. Right brain search = X. Best session today covering semantic web and recommendations #sxsw {link},Google,1
Never seen so many apple products in my life #sxsw,Apple,1
Never seen so many heads turn at one point. Someone from #Apple asks a question to Reid Hoffman #SXSW,,1
"Podcast on Social Business Summit 2011 AUSTIN {link} @mention @mention #sxsw , listened to it on my new Iphone ... delight !",iPhone,1
RT@mention t's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link},Apple,1
Sitting on the floor behind a guy who's fondling his new iPad 2 in a very disturbing way. #sxsw,iPad,0
Sitting on the ground waiting for my iPad at the Austin #apple popup store at #SXSW. What a geek I am.  {link},iPad,1
Windows in the Scarborough building on corner of 6th &amp; Congress blacked out... an Apple pop-up store is being born! #sxsw #WeLiveHere,Apple,1
I've taken the SXSW iPhone and iPad apps for granted. Realizing just how amazing these apps are. Big applause to designers/devs. #SXSW,iPad or iPhone App,1
Are you in town for #SXSW? Be sure to check in with us using Google Places and Foursquare for some kick ass deals! #foursquare #googleplaces,Other Google product or service,1
Having fun w/ @mention new Check-In's feature on iPhone | See @mention latest article &quot;Roll your own 4square&quot; {link} #SXSW,iPad or iPhone App,1
Mike Tyson wants to be an iPhone knockout | #SXSW - CNET Blogs {link},iPhone,1
"RT@mention What's going on at #sxsw today? Share photos, video with iReport: {link} or through #CNN iPhone app!",iPad or iPhone App,1
"Having fun with Google Analytics in our Berklee Topspin class !  If you haven't used it before, great info for marketing your music ! #SXSW",Other Google product or service,1
Those aren't apples! RT @mention Woke up sandwiched between my iPhone and iPad. I forgot how much #SXSW was like geek spring break,iPhone,1
"No, I didn't get an iPad 2 :( No, I'm not at #sxsw :( Yes, I am depressed :(",iPad,1
"LOL, I don't see a single PC user around meÛÓjust Macbooks and iPads. Web devs are definitely Apple folks. #sxsw #apple",Apple,1
"Grouped{in} nice app for groups, aber leider nur fÌ_r iPhone.  {link} #sxsw",iPad or iPhone App,1
iPad 2 sync complete! I'm live! #livingthedream #sxsw,iPad,1
"Testing #NCAA MMOD iPad app during an #sxsw session. Flawless livesteam of bracket show. AT&amp;T ad for Atrix makes no sense on mute, though.",iPad or iPhone App,1
Grrr..plancast stuff exported to Google calendar in San Diego/pacific time did not shift to central tme #wack #sxsw,Google,0
Had to cancel my trip to Austin #SXSW today/I'm under the weather. Found a great iTunes mix of SXSW artists &amp; it's FREE!{link},Other Apple product or service,1
"We all, including me, have this emotional thing with iPad. #barrydiller #sxsw #pnid",iPad,1
James Franco is going over notes for his #SXSW speech iPad 2 vs Android Vs World. He got an iPad days ago but feels like an expert already.,iPad,1
Crowley and Cashmore think iPad 2 is a minor step up. Tell that to the people standing in line at #SXSW Apple pop-up store! #checkins,iPad,1
"Wow, demand for the iPad 2 is insatiable, seems to be sold out everywhere in Austin, Texas. I suppose #SXSW being in town isn't helping.",iPad,1
"line around the corner for #iPad2 at #sxsw, i say wait on it. I've already got two cameras on my #iPhone sorry #apple",iPad,0
Anyone find the makeshift #Apple store at #SXSW yet?,Apple,1
is surrounded by lots of iPad 2 boxes #SXSW,iPad,1
SXSW attendees! Come see #Aquent booth 1415 #SXSW trade show. You might win iPad 2!,iPad,1
"Bereft wanderer. White cord, limp. Lifeless. There is no outlet for your iPhone here. #sxsw #poetry",iPhone,0
"Hey #vufinders, awesome new update for @mention #iphone app {link} 3X speedup for object tagging (outside #sxsw conf hours :-)",iPad or iPhone App,1
Really finding myself enjoying the ipad design principles. Well done. #tapworthy Very useful and clear points throughout. #sxsw,iPad,1
Google finding new ways to help small business say more on their Place Page #sxsw [Here's our overview {link},Google,1
Google handing out free pi for pi day! #SXSW #win,Google,1
I cant handle everyone's tweets about the new Flipboard. #Jealous Thinking about taking the plunge and buying an iPad at #SXSW,iPad,1
Man panhandling for an iPad 2 at SXSW. WhatÛªs the world coming to? #iPad #apple #tablet #SXSW,iPad,0
"At Team Android party, come by @mention table &amp; show us Appolicious app on yr phone to enter to win Nexus S! {link} #sxsw",Android,1
My free android tshirt #SXSW  {link},Android,1
Domo iPhone &amp; Android App: Share with Facebook Strangers {link} via @mention #DOMO #SXSW,iPad or iPhone App,1
This iPhone #SXSW app would b pretty awesome if it didn't crash every 10mins during extended browsing. #Fuckit #Illmakeitwork,iPad or iPhone App,0
Best iPhone accessory of #sxsw {link} #rockstache #techsmith #istache /via @mention,iPhone,1
"SXSW iPhone app is awesome, but iPad app crashes every time. #sxsw",iPad or iPhone App,0
I'm in line for an #iPad 2 @mention @mention #SxSW,iPad,1
Whoa - line for ipad2 is 3blks long!!! #apple #Austin #SXSW,,1
Does anyone have an address for the yeasayer concert tonight? Google maps is failing. #sxsw,Other Google product or service,0
Does anyone have news from #SXSW? Other than the #iPad 2 is a must-have of course. {link},iPad,1
Does anyone know if the @mention store at #sxsw still has ipad 2's in stock?,iPad,1
I asked one of the booth people if #apple paid every single booth here to show their product on iPad2s. She said no. #idontbelieve #sxsw,Apple,0
This is one of the least helpful sessions at #sxsw.  Leave this session &amp; read these iPad Design notes instead.  {link} #UXDes,iPad,1
This is one of the three best apps we've seen at #SXSW {link},iPad or iPhone App,1
is EVERYONE that works at google this genius??!?  Seriously smart AND artistic. #SXSW,Google,1
"Apple opened a pop-up store at #SXSW for the release of the iPad 2, and it was quite a scene. GEEK POWER! {link}",iPad,1
It's a lonely job protecting the iPad 2 but someones gotta do it.  {link}  #sxsw,iPad,1
Thewildernessdowntown.com Best of Show at SXSW. Google's Thomas Gayno:  &quot;it is like a choreography of browser windows&quot; #SXSW,Other Google product or service,1
"the internet blurs, {link} the iPad fades, {link} ÛÒ @mention at #SXSW",iPad,0
Google's new &quot;route-around&quot; feature gives 3 alternate routes to avoid traffic - collectively saving drivers 2 yrs/day #SXSW,Other Google product or service,1
@mention New iPad Apps For Speech Therapy And Communication Are Showcased @mention #SXSW Conference {link} #sxswi #assistivetech,iPad or iPhone App,1
@mention New iPad Apps For Speech Therapy And Communication Are Showcased At The #SXSW Conference {link} #augcomm #hcsm #mhealth,iPad or iPhone App,1
I covet #New IPad. {link} #SXSW,iPad,1
Buying 2 new iPad's with @mention #geekdate #apple #sxsw #ipad2,iPad,1
"Google's new version of Maps has already saved pp 2yrs in time spent locating places, since launch earlier this week. #SxSW",Other Google product or service,1
#random #news #tech exclusive shot of #SXSW popup Apple Store! {link} #TT #FF,Apple,1
@mention news from #sxsw lots of iPad bashing but everyone wants one. Even @mention consistent with theme,iPad,1
Wowwwwww next google maps is amazing! #sxsw,Other Google product or service,1
This guy next to me is using his ipad 2 as a periscope. #sxsw,iPad,1
Sweet. Danfung Dennis will be demoing the immersive video rig and iPad platform used in To Hell and Back Again at our #SXSW party.,iPad,1
interesting &quot;@mention &quot;Google looks for technical solutions which why they're not great @mention community because its a human solution #SXSWÛ,Google,0
At debating brands role as publishers #sxsw.  Enjoyed what I heard from the google doodle guys too.,Google,1
I'm looking forward to our panel tomorrow (5pm) at #SXSW: Left Brain Search = Google. Right Brain Search = X {link},Google,1
"I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",iPad,1
My tweeting from #sxsw been pretty non existent today thanks to the @mention iPhone app #fail - Hootsuite is the epic replacement! #owllove,iPad or iPhone App,0
"I'm missing out! Apple's even opened a temporary store in downtown Austin for it, says @mention Hope @mention got his passport? #SXSW",Apple,1
Interesting presentation on the building of #Netflix iphone App at #sxsw {link},iPad or iPhone App,1
Interesting RT @mention Google analytics can track offsite links as virtual pg views using Script. #moreknowledge #sxsw #mitharvard,,1
Well having the iPad has really been the perfect device for #SXSW.,iPad,1
Interesting tidbit:  apple designed the iPad 2 case before designing the actual device.  #sxsw,iPad,1
Who's going to #SXSW?   Apple will have it's own store there....{link}  #AAPL,Apple,1
I was going to mock the tech-nerds for coming to #sxsw only to stand in a 4-hour line for an iPad 2. Then I remembered me and horror movies.,iPad,0
Interesting to see Yellow Pages #iPad app come up as example of good practice #sxsw,iPad or iPhone App,1
Is starting to think my #blackberry is more like the #abacus of phones. Damn u #iphone. #sxsw (I just wanted # abacus),iPhone,0
#iPad being unloaded at #sxsw popup store. Awesome! {link},iPad,1
"#iPad Lounge at @mention - Free daily for #sxsw - free coffee, #iPad #Art. Recharge. Refresh åÇ Austin Details {link}",iPad,1
"@mention Nice #SXSW song @mention  DonÛªt hack, Write Rails. Under deliver, over sell. Work for Google. {link}",Google,0
@mention Nice meeting you last night! Confession: I just installed @mention on my iPad &amp; really like it. :-) #SXSW,iPad or iPhone App,1
@mention Nice move on Apple #SXSW will be center of Apple fanboy-dom for the next week.,Apple,1
@mention nice vid on ipad 2 from #sxsw. Hope it was @mention behind the camera! {link},iPad,1
@mention nice work on organizing the apple pop-up store - but wish you were here in #austin for #sxsw!,Apple,1
"Google denies it will launch major new social network, Circles, at #sxsw. But some, including Tim O'Reily, say it exists and is, awesome!",Other Google product or service,1
"Apple opening a pop-up store for #SXSW. Cool, and another reason I'm #pissedimnotgoingtosxsw. {link}",Apple,1
Apple opening a store in downtown ATX for this wknd ONLY.. same time as #SXSW so ppl can buy iPad 2. ÛÏ@mention {link},Apple,1
"Apple opening downtown Austin pop up store for #SXSW. RT @mention Before It Even Begins, Apple Wins SXSW {link}",Apple,1
Apple opening pop-up store in Austin at Congress and 6th to sell new iPads.  #sxsw  {link},iPad,1
"Apple Opening Pop-Up Store In Austin For SXSW {link} - phew, I was beginning to panic, thanks Steve #SXSW",Apple,1
Apple Opening Pop-Up Store In Austin For SXSW ~ {link} &lt;- Ya gotta hand it to Apple... always innovating #apple #sxsw,Apple,1
